"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"R609","EDEMA, NO ESPECIFICADO","M","1","3","3","01/01/2024-31/12/2024"
"S068","OTROS TRAUMATISMOS INTRACRANEALES","M","2","16","8","01/01/2024-31/12/2024"
"S203","OTROS TRAUMATISMOS SUPERFICIALES DE LA PARED ANTERIOR DEL TORAX","M","2","7","3.5","01/01/2024-31/12/2024"
"S297","TRAUMATISMOS MULTIPLES DEL TORAX","M","1","24","24","01/01/2024-31/12/2024"
"S398","OTROS TRAUMATISMOS ESPECIFICADOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS","M","1","30","30","01/01/2024-31/12/2024"
"S408","OTROS TRAUMATISMOS SUPERFICIALES DEL HOMBRO Y DEL BRAZO","M","1","3","3","01/01/2024-31/12/2024"
"S409","TRAUMATISMO SUPERFICIAL NO ESPECIFICADO DEL HOMBRO Y DEL BRAZO","M","1","3","3","01/01/2024-31/12/2024"
"S460","TRAUMATISMO DEL MUSCULO(S) Y TENDON(ES) DEL MANGUITO ROTATORIO DEL HOMBRO","M","1","30","30","01/01/2024-31/12/2024"
"S510","HERIDA DEL CODO","M","1","7","7","01/01/2024-31/12/2024"
"S631","LUXACION DE DEDOS DE LA MANO","M","4","51","12.75","01/01/2024-31/12/2024"
"S667","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS EXTENSORES A NIVEL DE LA MUNECA Y DE LA MANO","M","1","30","30","01/01/2024-31/12/2024"
"S821","FRACTURA DE LA EPIFISIS SUPERIOR DE LA TIBIA","M","32","910","28.4375","01/01/2024-31/12/2024"
"S835","ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA","M","12","360","30","01/01/2024-31/12/2024"
"W544","MORDEDURA O ATAQUE DE PERRO, CALLES Y CARRETERAS","M","3","6","2","01/01/2024-31/12/2024"
"W570","MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS, VIVIENDA","M","4","9","2.25","01/01/2024-31/12/2024"
"W579","MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS, LUGAR NO ESPECIFICADO","M","1","4","4","01/01/2024-31/12/2024"
"W607","CONTACTO TRAUMATICO CON AGUIJONES, ESPINAS U HOJAS CORTANTES DE PLANTAS, GRANJA","M","1","8","8","01/01/2024-31/12/2024"
"Z470","CUIDADOS POSTERIORES A LA EXTRACCION DE PLACA U OTRO DISPOSITIVO DE FIJACION INTERNA EN FRACTURA","M","3","27","9","01/01/2024-31/12/2024"
"S836","ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA","M","2","6","3","01/01/2024-31/12/2024"
"S920","FRACTURA DEL CALCANEO","M","3","90","30","01/01/2024-31/12/2024"
"T131","HERIDA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO","M","4","91","22.75","01/01/2024-31/12/2024"
"T139","TRAUMATISMO NO ESPECIFICADO DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO","M","1","5","5","01/01/2024-31/12/2024"
"T158","CUERPO EXTRANO EN OTRAS Y EN MULTIPLES PARTES DE LA PARTE EXTERNA DEL OJO","M","1","1","1","01/01/2024-31/12/2024"
"T844","COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","M","1","30","30","01/01/2024-31/12/2024"
"V021","PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, ACCIDENTE DE TRANSITO","M","2","5","2.5","01/01/2024-31/12/2024"
"V194","CONDUCTOR DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO","M","1","3","3","01/01/2024-31/12/2024"
"V481","OCUPANTE DE AUTOMOVIL LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO","M","1","3","3","01/01/2024-31/12/2024"
"V877","PERSONA LESIONADA POR COLISION ENTRE OTROS VEHICULOS DE MOTOR ESPECIFICADOS (TRANSITO)","M","1","5","5","01/01/2024-31/12/2024"
"W010","CAIDA EN EL MISMO NIVEL POR DESLIZAMIENTO, TROPEZON Y TRASPIE, VIVIENDA","M","1","4","4","01/01/2024-31/12/2024"
"X227","CONTACTO TRAUMATICO CON ESCORPION, GRANJA","M","2","4","2","01/01/2024-31/12/2024"
"Z302","ESTERILIZACION","M","9","41","4.55555555556","01/01/2024-31/12/2024"
"A062","COLITIS AMEBIANA NO DISENTERICA","M","1","3","3","01/01/2024-31/12/2024"
"A971","DENGUE CON SIGNOS DE ALARMA","M","119","873","7.33613445378","01/01/2024-31/12/2024"
"C698","LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS","M","1","3","3","01/01/2024-31/12/2024"
"D170","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA, CARA Y CUELLO","M","7","49","7","01/01/2024-31/12/2024"
"E106","DIABETES MELLITUS INSULINODEPENDIENTE, CON OTRAS COMPLICACIONES ESPECIFICADAS","M","1","14","14","01/01/2024-31/12/2024"
"E108","DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES NO ESPECIFICADAS","M","1","10","10","01/01/2024-31/12/2024"
"F321","EPISODIO DEPRESIVO MODERADO","M","1","4","4","01/01/2024-31/12/2024"
"G259","TRASTORNO EXTRAPIRAMIDAL Y DEL MOVIMIENTO, NO ESPECIFICADO","M","1","3","3","01/01/2024-31/12/2024"
"G510","PARALISIS DE BELL","M","4","11","2.75","01/01/2024-31/12/2024"
"H530","AMBLIOPIA EX ANOPSIA","M","1","3","3","01/01/2024-31/12/2024"
"H664","OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACION","M","2","5","2.5","01/01/2024-31/12/2024"
"I612","HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, NO ESPECIFICADA","M","1","30","30","01/01/2024-31/12/2024"
"I64X","ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO","M","2","35","17.5","01/01/2024-31/12/2024"
"I841","HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES","M","2","2","1","01/01/2024-31/12/2024"
"J039","AMIGDALITIS AGUDA, NO ESPECIFICADA","M","29","84","2.89655172414","01/01/2024-31/12/2024"
"J22X","INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES","M","16","54","3.375","01/01/2024-31/12/2024"
"J36X","ABSCESO PERIAMIGDALINO","M","1","3","3","01/01/2024-31/12/2024"
"K122","CELULITIS Y ABSCESO DE BOCA","M","2","23","11.5","01/01/2024-31/12/2024"
"K350","APENDICITIS AGUDA CON PERITONITIS GENERALIZADA","M","5","85","17","01/01/2024-31/12/2024"
"K358","OTRAS APENDICITIS AGUDAS, Y LAS NO ESPECIFICADAS","M","3","47","15.66666666667","01/01/2024-31/12/2024"
"K402","HERNIA INGUINAL BILATERAL, SIN OBSTRUCCION NI GANGRENA","M","15","225","15","01/01/2024-31/12/2024"
"K529","COLITIS Y GASTROENTERITIS NO INFECCIOSAS, NO ESPECIFICADAS","M","5","12","2.4","01/01/2024-31/12/2024"
"K561","INVAGINACION","M","1","30","30","01/01/2024-31/12/2024"
"K635","POLIPO DEL COLON","M","2","3","1.5","01/01/2024-31/12/2024"
"L059","QUISTE PILONIDAL SIN ABSCESO","M","5","61","12.2","01/01/2024-31/12/2024"
"M215","MANO O PIE EN GARRA O EN TALIPES, PIE EQUINOVARO O ZAMBO ADQUIRIDOS","M","1","15","15","01/01/2024-31/12/2024"
"M235","INESTABILIDAD CRONICA DE LA RODILLA","M","5","108","21.6","01/01/2024-31/12/2024"
"M253","OTRAS INESTABILIDADES ARTICULARES","M","1","30","30","01/01/2024-31/12/2024"
"M511","TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA","M","5","47","9.4","01/01/2024-31/12/2024"
"M542","CERVICALGIA","M","4","10","2.5","01/01/2024-31/12/2024"
"M664","RUPTURA ESPONTANEA DE OTROS TENDONES","M","1","15","15","01/01/2024-31/12/2024"
"N131","HIDRONEFROSIS CON ESTRECHEZ URETERAL, NO CLASIFICADA EN OTRA PARTE","M","1","25","25","01/01/2024-31/12/2024"
"N19X","INSUFICIENCIA RENAL NO ESPECIFICADA","M","1","15","15","01/01/2024-31/12/2024"
"N202","CALCULO DEL RINON CON CALCULO DEL URETER","M","1","7","7","01/01/2024-31/12/2024"
"N40X","HIPERPLASIA DE LA PROSTATA","M","47","992","21.10638297872","01/01/2024-31/12/2024"
"N433","HIDROCELE, NO ESPECIFICADO","M","9","80","8.88888888889","01/01/2024-31/12/2024"
"N491","TRASTORNOS INFLAMATORIOS DEL CORDON ESPERMATICO, TUNICA VAGINAL Y CONDUCTO DEFERENTE","M","1","10","10","01/01/2024-31/12/2024"
"Q532","TESTICULO NO DESCENDIDO, BILATERAL","M","1","10","10","01/01/2024-31/12/2024"
"R560","CONVULSIONES FEBRILES","M","1","2","2","01/01/2024-31/12/2024"
"S071","TRAUMATISMO POR APLASTAMIENTO DEL CRANEO","M","1","4","4","01/01/2024-31/12/2024"
"S324","FRACTURA DEL ACETABULO","M","2","60","30","01/01/2024-31/12/2024"
"S328","FRACTURA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA COLUMNA LUMBAR Y DE LA PELVIS","M","3","68","22.66666666667","01/01/2024-31/12/2024"
"S424","FRACTURA DE LA EPIFISIS INFERIOR DEL HUMERO","M","5","106","21.2","01/01/2024-31/12/2024"
"S431","LUXACION DE LA ARTICULACION ACROMIOCLAVICULAR","M","14","420","30","01/01/2024-31/12/2024"
"S498","OTROS TRAUMATISMOS ESPECIFICADOS DEL HOMBRO Y DEL BRAZO","M","1","5","5","01/01/2024-31/12/2024"
"S520","FRACTURA DE LA EPIFISIS SUPERIOR DEL CUBITO","M","2","32","16","01/01/2024-31/12/2024"
"S521","FRACTURA DE LA EPIFISIS SUPERIOR DEL RADIO","M","10","213","21.3","01/01/2024-31/12/2024"
"S529","FRACTURA DEL ANTEBRAZO, PARTE NO ESPECIFICADA","M","1","30","30","01/01/2024-31/12/2024"
"A099","GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO","M","13","40","3.07692307692","01/01/2024-31/12/2024"
"B54X","PALUDISMO [MALARIA] NO ESPECIFICADO","M","2","14","7","01/01/2024-31/12/2024"
"B878","MIASIS DE OTROS SITIOS","M","1","3","3","01/01/2024-31/12/2024"
"C440","TUMOR MALIGNO DE LA PIEL DEL LABIO","M","1","2","2","01/01/2024-31/12/2024"
"D172","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS","M","5","50","10","01/01/2024-31/12/2024"
"D694","OTRAS TROMBOCITOPENIAS PRIMARIAS","M","1","2","2","01/01/2024-31/12/2024"
"E105","DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS","M","2","60","30","01/01/2024-31/12/2024"
"E119","DIABETES MELLITUS NO INSULINODEPENDIENTE, SIN MENCION DE COMPLICACION","M","1","2","2","01/01/2024-31/12/2024"
"G20X","ENFERMEDAD DE PARKINSON","M","2","60","30","01/01/2024-31/12/2024"
"G563","LESION DEL NERVIO RADIAL","M","2","30","15","01/01/2024-31/12/2024"
"H109","CONJUNTIVITIS, NO ESPECIFICADA","M","1","1","1","01/01/2024-31/12/2024"
"H191","QUERATITIS Y QUERATOCONJUNTIVITIS POR HERPES SIMPLE","M","1","5","5","01/01/2024-31/12/2024"
"H409","GLAUCOMA, NO ESPECIFICADO","M","1","5","5","01/01/2024-31/12/2024"
"H651","OTRA OTITIS MEDIA AGUDA, NO SUPURATIVA","M","2","3","1.5","01/01/2024-31/12/2024"
"J020","FARINGITIS ESTREPTOCOCICA","M","6","11","1.83333333333","01/01/2024-31/12/2024"
"J352","HIPERTROFIA DE LAS ADENOIDES","M","7","100","14.28571428571","01/01/2024-31/12/2024"
"K257","ULCERA GASTRICA, CRONICA SIN HEMORRAGIA NI PERFORACION","M","1","1","1","01/01/2024-31/12/2024"
"K296","OTRAS GASTRITIS","M","3","7","2.33333333333","01/01/2024-31/12/2024"
"K351","APENDICITIS AGUDA CON ABSCESO PERITONEAL","M","2","20","10","01/01/2024-31/12/2024"
"K421","HERNIA UMBILICAL CON GANGRENA","M","1","21","21","01/01/2024-31/12/2024"
"K567","ILEO, NO ESPECIFICADO","M","1","4","4","01/01/2024-31/12/2024"
"K703","CIRROSIS HEPATICA ALCOHOLICA","M","2","50","25","01/01/2024-31/12/2024"
"K802","CALCULO DE LA VESICULA BILIAR SIN COLECISTITIS","M","6","100","16.66666666667","01/01/2024-31/12/2024"
"L030","CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE","M","4","12","3","01/01/2024-31/12/2024"
"M216","OTRAS DEFORMIDADES ADQUIRIDAS DEL TOBILLO Y DEL PIE","M","1","30","30","01/01/2024-31/12/2024"
"M220","LUXACION RECIDIVANTE DE LA ROTULA","M","2","30","15","01/01/2024-31/12/2024"
"M436","TORTICOLIS","M","1","6","6","01/01/2024-31/12/2024"
"M461","SACROILIITIS, NO CLASIFICADA EN OTRA PARTE","M","1","3","3","01/01/2024-31/12/2024"
"M759","LESION DEL HOMBRO, NO ESPECIFICADA","M","5","24","4.8","01/01/2024-31/12/2024"
"M763","SINDROME DEL TENDON DEL TENSOR DE LA FASCIA LATA","M","1","14","14","01/01/2024-31/12/2024"
"M940","SINDROME DE LA ARTICULACION CONDROCOSTAL [TIETZE]","M","20","37","1.85","01/01/2024-31/12/2024"
"N135","TORSION Y ESTRECHEZ DEL URETER SIN HIDRONEFROSIS","M","1","10","10","01/01/2024-31/12/2024"
"N44X","TORSION DEL TESTICULO","M","15","134","8.93333333333","01/01/2024-31/12/2024"
"N450","ORQUITIS, EPIDIDIMITIS Y ORQUIEPIDIDIMITIS CON ABSCESO","M","1","8","8","01/01/2024-31/12/2024"
"N511","TRASTORNOS DEL TESTICULO Y DEL EPIDIDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","M","7","50","7.14285714286","01/01/2024-31/12/2024"
"R002","PALPITACIONES","M","1","3","3","01/01/2024-31/12/2024"
"R073","OTROS DOLORES EN EL PECHO","M","10","16","1.6","01/01/2024-31/12/2024"
"R11X","NAUSEA Y VOMITO","M","18","43","2.38888888889","01/01/2024-31/12/2024"
"R190","TUMEFACCION, MASA O PROMINENCIA INTRAABDOMINAL Y PELVICA","M","1","3","3","01/01/2024-31/12/2024"
"R42X","MAREO Y DESVANECIMIENTO","M","1","1","1","01/01/2024-31/12/2024"
"R58X","HEMORRAGIA, NO CLASIFICADA EN OTRA PARTE","M","1","15","15","01/01/2024-31/12/2024"
"S015","HERIDA DEL LABIO Y DE LA CAVIDAD BUCAL","M","3","6","2","01/01/2024-31/12/2024"
"S058","OTROS TRAUMATISMOS DEL OJO Y DE LA ORBITA","M","1","5","5","01/01/2024-31/12/2024"
"S204","OTROS TRAUMATISMOS SUPERFICIALES DE LA PARED POSTERIOR DEL TORAX","M","2","7","3.5","01/01/2024-31/12/2024"
"S228","FRACTURA DE OTRAS PARTES DEL TORAX OSEO","M","1","4","4","01/01/2024-31/12/2024"
"S325","FRACTURA DEL PUBIS","M","1","30","30","01/01/2024-31/12/2024"
"S354","TRAUMATISMO DE VASOS SANGUINEOS RENALES","M","1","20","20","01/01/2024-31/12/2024"
"S399","TRAUMATISMO NO ESPECIFICADO DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS","M","1","10","10","01/01/2024-31/12/2024"
"S430","LUXACION DE LA ARTICULACION DEL HOMBRO","M","16","150","9.375","01/01/2024-31/12/2024"
"S523","FRACTURA DE LA DIAFISIS DEL RADIO","M","9","213","23.66666666667","01/01/2024-31/12/2024"
"S661","TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DE OTRO DEDO A NIVEL DE LA MUNECA Y DE LA MANO","M","6","180","30","01/01/2024-31/12/2024"
"B029","HERPES ZOSTER SIN COMPLICACIONES","M","2","9","4.5","01/01/2024-31/12/2024"
"B879","MIASIS, NO ESPECIFICADA","M","1","3","3","01/01/2024-31/12/2024"
"D688","OTROS DEFECTOS ESPECIFICADOS DE LA COAGULACION","M","1","4","4","01/01/2024-31/12/2024"
"E86X","DEPLECION DEL VOLUMEN","M","1","1","1","01/01/2024-31/12/2024"
"F320","EPISODIO DEPRESIVO LEVE","M","2","8","4","01/01/2024-31/12/2024"
"G560","SINDROME DEL TUNEL CARPIANO","M","15","383","25.53333333333","01/01/2024-31/12/2024"
"H811","VERTIGO PAROXISTICO BENIGNO","M","3","17","5.66666666667","01/01/2024-31/12/2024"
"H813","OTROS VERTIGOS PERIFERICOS","M","3","9","3","01/01/2024-31/12/2024"
"I10X","HIPERTENSION ESENCIAL (PRIMARIA)","M","4","10","2.5","01/01/2024-31/12/2024"
"I608","OTRAS HEMORRAGIAS SUBARACNOIDEAS","M","1","15","15","01/01/2024-31/12/2024"
"I629","HEMORRAGIA INTRACRANEAL (NO TRAUMATICA), NO ESPECIFICADA","M","1","30","30","01/01/2024-31/12/2024"
"I800","FLEBITIS Y TROMBOFLEBITIS DE VASOS SUPERFICIALES DE LOS MIEMBROS INFERIORES","M","1","3","3","01/01/2024-31/12/2024"
"J019","SINUSITIS AGUDA, NO ESPECIFICADA","M","1","3","3","01/01/2024-31/12/2024"
"J09X","INFLUENZA DEBIDA A CIERTOS VIRUS DE LA INFLUENZA IDENTIFICADOS","M","1","8","8","01/01/2024-31/12/2024"
"J159","NEUMONIA BACTERIANA, NO ESPECIFICADA","M","2","12","6","01/01/2024-31/12/2024"
"J209","BRONQUITIS AGUDA, NO ESPECIFICADA","M","69","210","3.04347826087","01/01/2024-31/12/2024"
"J350","AMIGDALITIS CRONICA","M","1","14","14","01/01/2024-31/12/2024"
"K20X","ESOFAGITIS","M","2","15","7.5","01/01/2024-31/12/2024"
"K810","COLECISTITIS AGUDA","M","2","15","7.5","01/01/2024-31/12/2024"
"K833","FISTULA DEL CONDUCTO BILIAR","M","1","1","1","01/01/2024-31/12/2024"
"L032","CELULITIS DE LA CARA","M","2","4","2","01/01/2024-31/12/2024"
"L509","URTICARIA, NO ESPECIFICADA","M","2","3","1.5","01/01/2024-31/12/2024"
"L608","OTROS TRASTORNOS DE LAS UNAS","M","1","1","1","01/01/2024-31/12/2024"
"M255","DOLOR EN ARTICULACION","M","8","35","4.375","01/01/2024-31/12/2024"
"M545","LUMBAGO NO ESPECIFICADO","M","85","269","3.16470588235","01/01/2024-31/12/2024"
"M624","CONTRACTURA MUSCULAR","M","13","37","2.84615384615","01/01/2024-31/12/2024"
"M704","OTRAS BURSITIS PRERROTULIANAS","M","2","32","16","01/01/2024-31/12/2024"
"M796","DOLOR EN MIEMBRO","M","12","43","3.58333333333","01/01/2024-31/12/2024"
"M861","OTRAS OSTEOMIELITIS AGUDAS","M","1","30","30","01/01/2024-31/12/2024"
"N200","CALCULO DEL RINON","M","35","300","8.57142857143","01/01/2024-31/12/2024"
"N47X","PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS","M","29","290","10","01/01/2024-31/12/2024"
"N489","TRASTORNO DEL PENE, NO ESPECIFICADO","M","3","18","6","01/01/2024-31/12/2024"
"Q181","SENO Y QUISTE PREAURICULAR","M","1","8","8","01/01/2024-31/12/2024"
"R100","ABDOMEN AGUDO","M","2","10","5","01/01/2024-31/12/2024"
"R224","TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN EL MIEMBRO INFERIOR","M","2","15","7.5","01/01/2024-31/12/2024"
"R634","PERDIDA ANORMAL DE PESO","M","1","1","1","01/01/2024-31/12/2024"
"S119","HERIDA DE CUELLO, PARTE NO ESPECIFICADA","M","1","5","5","01/01/2024-31/12/2024"
"S327","FRACTURAS MULTIPLES DE LA COLUMNA LUMBAR Y DE LA PELVIS","M","1","30","30","01/01/2024-31/12/2024"
"S462","TRAUMATISMO DEL TENDON Y MUSCULO DE OTRAS PARTES DEL BICEPS","M","4","65","16.25","01/01/2024-31/12/2024"
"S601","CONTUSION DE DEDO(S) DE LA MANO CON DANO DE LA(S) UNA(S)","M","5","34","6.8","01/01/2024-31/12/2024"
"S602","CONTUSION DE OTRAS PARTES DE LA MUNECA Y DE LA MANO","M","15","52","3.46666666667","01/01/2024-31/12/2024"
"S627","FRACTURAS MULTIPLES DE LOS DEDOS DE LA MANO","M","5","125","25","01/01/2024-31/12/2024"
"S709","TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO","M","2","5","2.5","01/01/2024-31/12/2024"
"S819","HERIDA DE LA PIERNA, PARTE NO ESPECIFICADA","M","11","50","4.54545454545","01/01/2024-31/12/2024"
"S827","FRACTURAS MULTIPLES DE LA PIERNA","M","1","30","30","01/01/2024-31/12/2024"
"S911","HERIDA DE DEDO(S) DEL PIE SIN DANO(S) DE LA(S) UNA(S)","M","2","7","3.5","01/01/2024-31/12/2024"
"S924","FRACTURA DE LOS HUESOS DEL DEDO GORDO DEL PIE","M","7","162","23.14285714286","01/01/2024-31/12/2024"
"T07X","TRAUMATISMOS MULTIPLES, NO ESPECIFICADOS","M","14","77","5.5","01/01/2024-31/12/2024"
"T151","CUERPO EXTRANO EN EL SACO CONJUNTIVAL","M","2","4","2","01/01/2024-31/12/2024"
"T173","CUERPO EXTRANO EN LA LARINGE","M","3","5","1.66666666667","01/01/2024-31/12/2024"
"T230","QUEMADURA DE LA MUNECA Y DE LA MANO, GRADO NO ESPECIFICADO","M","2","7","3.5","01/01/2024-31/12/2024"
"V200","MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO","M","3","9","3","01/01/2024-31/12/2024"
"V296","MOTOCICLISTA NO ESPECIFICADO LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO","M","2","6","3","01/01/2024-31/12/2024"
"A499","INFECCION BACTERIANA, NO ESPECIFICADA","M","1","2","2","01/01/2024-31/12/2024"
"A970","DENGUE SIN SIGNOS DE ALARMA","M","152","639","4.20394736842","01/01/2024-31/12/2024"
"B07X","VERRUGAS VIRICAS","M","1","1","1","01/01/2024-31/12/2024"
"B829","PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION","M","1","2","2","01/01/2024-31/12/2024"
"C444","TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO","M","2","3","1.5","01/01/2024-31/12/2024"
"D103","TUMOR BENIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA","M","3","24","8","01/01/2024-31/12/2024"
"D223","NEVO MELANOCITICO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA","M","14","39","2.78571428571","01/01/2024-31/12/2024"
"D234","TUMOR BENIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO","M","5","11","2.2","01/01/2024-31/12/2024"
"D361","TUMOR BENIGNO DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO","M","1","30","30","01/01/2024-31/12/2024"
"G431","MIGRANA CON AURA [MIGRANA CLASICA]","M","3","7","2.33333333333","01/01/2024-31/12/2024"
"G442","CEFALEA DEBIDA A TENSION","M","1","1","1","01/01/2024-31/12/2024"
"G500","NEURALGIA DEL TRIGEMINO","M","1","5","5","01/01/2024-31/12/2024"
"H103","CONJUNTIVITIS AGUDA, NO ESPECIFICADA","M","6","15","2.5","01/01/2024-31/12/2024"
"I209","ANGINA DE PECHO, NO ESPECIFICADA","M","4","27","6.75","01/01/2024-31/12/2024"
"I499","ARRITMIA CARDIACA, NO ESPECIFICADA","M","2","4","2","01/01/2024-31/12/2024"
"I639","INFARTO CEREBRAL, NO ESPECIFICADO","M","2","60","30","01/01/2024-31/12/2024"
"I828","EMBOLIA Y TROMBOSIS DE OTRAS VENAS ESPECIFICADAS","M","1","5","5","01/01/2024-31/12/2024"
"J030","AMIGDALITIS ESTREPTOCOCICA","M","5","13","2.6","01/01/2024-31/12/2024"
"J040","LARINGITIS AGUDA","M","1","6","6","01/01/2024-31/12/2024"
"J342","DESVIACION DEL TABIQUE NASAL","M","24","349","14.54166666667","01/01/2024-31/12/2024"
"K001","DIENTES SUPERNUMERARIOS","M","1","1","1","01/01/2024-31/12/2024"
"K010","DIENTES INCLUIDOS","M","65","227","3.49230769231","01/01/2024-31/12/2024"
"K291","OTRAS GASTRITIS AGUDAS","M","1","1","1","01/01/2024-31/12/2024"
"K359","APENDICITIS AGUDA, NO ESPECIFICADA","M","55","723","13.14545454545","01/01/2024-31/12/2024"
"K409","HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCION NI GANGRENA","M","75","944","12.58666666667","01/01/2024-31/12/2024"
"K429","HERNIA UMBILICAL SIN OBSTRUCCION NI GANGRENA","M","43","529","12.3023255814","01/01/2024-31/12/2024"
"L022","ABSCESO CUTANEO, FURUNCULO Y ANTRAX DEL TRONCO","M","1","3","3","01/01/2024-31/12/2024"
"M171","OTRAS GONARTROSIS PRIMARIAS","M","4","119","29.75","01/01/2024-31/12/2024"
"M238","OTROS TRASTORNOS INTERNOS DE LA RODILLA","M","2","6","3","01/01/2024-31/12/2024"
"M720","FIBROMATOSIS DE LA APONEUROSIS PALMAR [DUPUYTREN]","M","1","30","30","01/01/2024-31/12/2024"
"S411","HERIDA DEL BRAZO","M","2","25","12.5","01/01/2024-31/12/2024"
"M754","SINDROME DE ABDUCCION DOLOROSA DEL HOMBRO","M","6","103","17.16666666667","01/01/2024-31/12/2024"
"M791","MIALGIA","M","2","9","4.5","01/01/2024-31/12/2024"
"N62X","HIPERTROFIA DE LA MAMA","M","4","50","12.5","01/01/2024-31/12/2024"
"R040","EPISTAXIS","M","1","1","1","01/01/2024-31/12/2024"
"R31X","HEMATURIA, NO ESPECIFICADA","M","1","1","1","01/01/2024-31/12/2024"
"R508","OTRAS FIEBRES ESPECIFICADAS","M","4","17","4.25","01/01/2024-31/12/2024"
"R520","DOLOR AGUDO","M","3","13","4.33333333333","01/01/2024-31/12/2024"
"R529","DOLOR, NO ESPECIFICADO","M","2","6","3","01/01/2024-31/12/2024"
"R568","OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS","M","3","14","4.66666666667","01/01/2024-31/12/2024"
"S010","HERIDA DEL CUERO CABELLUDO","M","2","8","4","01/01/2024-31/12/2024"
"S097","TRAUMATISMOS MULTIPLES DE LA CABEZA","M","1","5","5","01/01/2024-31/12/2024"
"S309","TRAUMATISMO SUPERFICIAL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS, PARTE NO ESPECIFICADA","M","1","3","3","01/01/2024-31/12/2024"
"S407","TRAUMATISMOS SUPERFICIALES MULTIPLES DEL HOMBRO Y DEL BRAZO","M","2","10","5","01/01/2024-31/12/2024"
"S519","HERIDA DEL ANTEBRAZO, PARTE NO ESPECIFICADA","M","3","13","4.33333333333","01/01/2024-31/12/2024"
"S524","FRACTURA DE LA DIAFISIS DEL CUBITO Y DEL RADIO","M","15","354","23.6","01/01/2024-31/12/2024"
