"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"L439","LIQUEN PLANO, NO ESPECIFICADO","M","1","4","4","01/01/2019-30/06/2019"
"L440","PITIRIASIS RUBRA PILARIS","M","1","15","15","01/01/2019-30/06/2019"
"M192","ARTROSIS SECUNDARIA DE OTRAS ARTICULACIONES","M","1","30","30","01/01/2019-30/06/2019"
"M202","HALLUX RIGIDUS","M","1","10","10","01/01/2019-30/06/2019"
"M214","PIE PLANO [PES PLANUS] (ADQUIRIDO)","M","1","1","1","01/01/2019-30/06/2019"
"M223","OTROS DESARREGLOS DE LA ROTULA","M","2","60","30","01/01/2019-30/06/2019"
"M712","QUISTE SINOVIAL DEL HUECO POPLITEO [DE BAKER]","M","2","20","10","01/01/2019-30/06/2019"
"M832","OSTEOMALACIA DEL ADULTO DEBIDA A MALABSORCION","M","1","30","30","01/01/2019-30/06/2019"
"N132","HIDRONEFROSIS CON OBSTRUCCION POR CALCULOS DEL RIÑON Y DEL URETER","M","1","3","3","01/01/2019-30/06/2019"
"N399","TRASTORNO DEL SISTEMA URINARIO, NO ESPECIFICADO","M","1","8","8","01/01/2019-30/06/2019"
"Q210","DEFECTO DEL TABIQUE VENTRICULAR","M","1","1","1","01/01/2019-30/06/2019"
"Q382","MACROGLOSIA","M","1","1","1","01/01/2019-30/06/2019"
"Q613","RIÑON POLIQUISTICO, TIPO NO ESPECIFICADO","M","1","2","2","01/01/2019-30/06/2019"
"Q651","LUXACION CONGENITA DE LA CADERA, BILATERAL","M","1","2","2","01/01/2019-30/06/2019"
"Q660","TALIPES EQUINOVARUS","M","1","15","15","01/01/2019-30/06/2019"
"R490","DISFONIA","M","1","8","8","01/01/2019-30/06/2019"
"R635","AUMENTO ANORMAL DE PESO","M","1","1","1","01/01/2019-30/06/2019"
"S071","TRAUMATISMO POR APLASTAMIENTO DEL CRANEO","M","1","3","3","01/01/2019-30/06/2019"
"S153","TRAUMATISMO DE LA VENA YUGULAR INTERNA","M","1","15","15","01/01/2019-30/06/2019"
"S565","TRAUMATISMO DE OTRO TENDON Y MUSCULO EXTENSOR A NIVEL DEL ANTEBRAZO","M","1","15","15","01/01/2019-30/06/2019"
"T012","HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) SUPERIOR(ES)","M","1","10","10","01/01/2019-30/06/2019"
"T183","CUERPO EXTRAÑO EN EL INTESTINO DELGADO","M","1","15","15","01/01/2019-30/06/2019"
"T184","CUERPO EXTRAÑO EN EL COLON","M","1","30","30","01/01/2019-30/06/2019"
"T189","CUERPO EXTRAÑO EN EL TUBO DIGESTIVO, PARTE NO ESPECIFICADA","M","1","4","4","01/01/2019-30/06/2019"
